CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	5926660	5999048	6012736	7887549	7970815	8151760	5987684	6016430	5634191	4667702	4960190	5651352	5665883	5835864	4584820	4189131	4105230	4104231	4193166	3964507	3546908	3747406	3747426	3291973	3119210	2886094	2928594	2966628	2983185	2973931	2251265	2561941	2533945	2791167	2682543	3094735	3122711	3048228	2395722	2439261	2596169	2480358	2455467	1689506	1987947	2201159	2653821	2561651	2723164	1864835	1597740	1408237	1372064	1187394	1260119	1283251	1118978	1255888	1218382	1221232	1353839	1615207	1615207	1266215	1413197	1516510	901711	700328	323655	313246	350097	409001	321080	152609	186859	178721
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1296596	1539577	1559577	1779170	1486152	1645024	1865097	1865097	1272855	1332174	1499281	2397187	2397187	2507556	1236468	1181696	960027	959185	685854	1019428	1173266	1419715	1419715	1357885	1271167	1096468	1036656	1036656	1159283	962044	352359	535796	535796	804521	760026	1084976	834708	834708	381355	424560	993166	427326	427358	350676	549786	627791	1171789	1221086	1131353	342361	332633	244410	274655	206648	306501	387913	359043	352443	260118	195053	150845	305885	305885	23480	103630	95573	318352	305528	50671	63415	131182	170556	160779	41192	69638	65326
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1371111	1221296	1201296	1746371	2266348	2718608	1138926	1168926	1396192	628809	565832	516562	516562	336626	359981	569705	749170	750013	771051	817338	464372	381491	381491	244295	200641	155121	249590	249840	195787	251045	346276	416694	416694	348896	474461	606326	883513	883513	680823	615643	396595	773506	763118	154851	180764	282272	288700	183242	205636	427243	362944	325384	294039	311670	295599	313531	182505	328128	345917	384782	518535	672848	672848	1093057	1190568	1312904	227739	227739	124777	102441	7030	7030	7030	8280	8280	8280
Các khoản phải thu ngắn hạn###Short term Account Receivables	2136333	2137974	2153036	3357654	3216789	2834113	1965707	1966048	1572085	1281388	1321423	1130677	1136714	1242697	1454605	1068245	1148404	1148605	1823151	1399064	1252983	1368937	1368956	1269771	1176362	1063262	1029984	1031342	991437	1048039	954923	1002629	974698	1035904	897870	863476	858975	784343	806542	777524	556325	564790	552748	493173	555113	667228	600331	616633	758054	646371	612893	575146	556441	496467	490267	442881	457623	451356	382018	385025	437189	407464	407464	135095	98774	82492	258558	125166	96557	101124	170765	101957	52567	53455	67195	54642
Hàng tồn kho###Inventory	1009683	987204	987204	971461	958497	904894	969074	969074	1342122	1374637	1531227	1555630	1555630	1707040	1471486	1343513	1230324	1230325	880216	689901	623978	547094	547094	405604	457403	560398	598432	598432	582745	653611	539962	544225	544225	542647	496324	496884	500693	500920	482908	578603	610532	667161	665237	663458	670393	591350	569335	517803	589202	429409	263638	242914	227181	149172	154731	124401	106953	112054	216789	244804	233716	204891	204891	14583	20225	25541	96626	41895	0	0	41121	129236	100703	49288	41066	49762
Tài sản ngắn hạn khác###Other Current Assets	112936	112997	111623	32893	43028	49121	48881	47286	50937	50694	42427	51297	59790	41945	62279	25972	17305	16103	32894	38774	32309	30169	30169	14417	13638	10846	13933	50359	53933	59192	57744	62598	62532	59199	53862	43073	44822	44744	44094	42931	39551	47575	47006	27348	31891	32518	23666	22887	38919	19450	25632	20383	19749	23437	13021	14524	12855	11908	13539	11567	13555	24118	24118	0	0	0	437	0	51650	46266	0	222	0	394	680	711
Tài sản dài hạn###Non-current Assets	13671049	13623717	13606706	10035597	9822487	9706612	9511979	9483158	9316393	9779817	9644438	8643315	8634786	7668586	7312396	7406079	7291405	7310604	5905829	5625400	5805249	5861517	5861517	5798105	5459034	5521903	5474592	5436600	4749496	4769033	4417764	4392508	4392508	4072248	3922617	3681468	3451729	3452629	2881664	2883788	2798150	2816967	2827378	3090301	2764973	2528150	2308106	2349232	2276665	1994916	1936625	1973709	1972632	1970844	1827050	1451405	1489277	1351507	1405243	1444907	1366916	1275918	1275918	1169238	1143895	830151	610904	676400	607124	507235	517327	424702	456140	372000	341561	341154
Các khoản phải thu dài hạn###Long term Account Receivable	38957	38930	38930	34957	35252	35703	33558	33558	33813	34740	36391	36128	36154	36829	36718	37085	36953	38722	38574	33982	33818	33818	33818	69817	68371	30920	68815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1872308	1859029	1859029	409461	423084	432147	445423	445423	453312	465704	478835	492274	492274	499720	510837	518550	528639	528601	500609	471204	472541	483507	483507	471096	480978	490884	529400	529400	494523	505173	32854	41715	41715	38780	38906	40447	39047	42190	38121	34135	35043	26777	34864	345519	279021	207196	29166	159683	125767	104543	95186	89629	89629	92575	73558	52985	45352	45352	180896	118679	88124	53645	53645	254663	242899	220883	180886	174439	107138	62512	63763	61520	243227	224734	224888	226180
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1803200	-1761895	-1761895	-1302180	-1290096	-1275056	-1260863	-1260863	-1246599	-1230839	-1215799	-1200026	-1200026	-1192315	-1177871	-1162465	-1146553	-1146553	-1136894	-1081733	-1066643	-1055839	-1055839	-1050356	-1039385	-1021727	-977310	-977310	-997063	-980064	-30817	-29565	-29565	-29737	-29509	-33522	-32486	-32486	-31998	-30118	-29217	-29101	-29101	-29128	-28227	-27327	-26593	-26593	-25692	-25509	-24640	-23643	-23643	-23121	-22094	-21425	-20314	-20314	-20053	-19094	-18320	-17421	-17421	0	0	0	-23823	0	0	-15482	-16570	0	0	0	0	0
