CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	1327340	1530510	1528438	1424631	1568312	1379769	1299828	1299904	1177496	1086951	1299050	1385954	1385954	1445084	1426038	1353091	1313658	1313687	1184298	1217836	1135757	1089645	1089065	1009633	970981	986750	1050590	1049811	1037472	1046445	1060899	1108831	1109484	1133464	1140427	1133780	1130249	1130535	1111711	1090165	1089197	1085601	1080803	1025543	985660	989477	933462	957774	881289	942915	694858	682193	694985	631628	580507	545832	534775	488205	525357	517926	563691	551324	551324	503814	478333	525357	381870	381870	292879
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	61039	53906	53907	38824	126720	82589	83927	83927	78324	96538	101514	93365	93365	13649	14907	43083	27591	27522	9968	11452	17658	17356	17356	8058	12920	9474	30646	30646	8646	8359	10790	14562	14562	7513	15957	7713	17607	17607	18972	7533	22169	47765	47765	40353	32704	47979	72512	72512	89843	161551	20248	50120	50170	39713	17507	6261	6234	6234	6875	8695	65141	25046	25046	7484	5000	6875	8750	8750	1218
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	9544	9544	9544	9544	9544	9544	4194	4194	4194	4194	4194	4194	4194	59220	71268	3150	3458	3458	2958	3382	2958	2611	2611	2265	7458	12619	2731	2731	2800	3114	4371	1530	1530	1377	2414	2529	1606	1606	1666	3139	2415	2268	2268	3912	4148	4137	3112	3112	2957	3252	4260	3635	3614	2813	1907	1762	1717	1669	2656	4893	4550	3591	3591	5753	0	2656	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	442087	529583	526518	496244	665024	624675	559689	559720	422032	335842	305418	295362	295362	370077	306135	326096	368159	368438	256615	295847	302575	216636	216080	133156	106291	96216	132075	131806	129620	131994	124160	139446	139890	134293	138541	143417	155225	155499	156006	147952	171823	183351	167294	170890	220625	266260	195818	226264	213085	199715	126776	95291	95257	131618	97135	104610	95554	95925	98445	94023	118749	138521	138521	152083	146843	98445	69289	69289	54737
Hàng tồn kho###Inventory	813448	936718	937711	872481	761406	659840	650472	650517	671649	649434	887029	991584	991584	1000482	1030179	979420	913101	913094	908962	899596	807300	852899	852897	865875	844101	854664	871736	871226	882976	888876	907457	940491	940685	974055	968113	962988	938740	938728	916960	911605	871912	834382	845824	790813	715356	659749	650533	644427	565942	570359	539604	531084	543880	456098	462408	431208	429548	382779	415613	408623	373038	381989	381989	332709	320897	415613	297924	297924	234328
Tài sản ngắn hạn khác###Other Current Assets	1221	759	759	7538	5618	3120	1546	1546	1298	943	895	1449	1449	1657	3548	1342	1348	1175	5795	7560	5266	143	121	278	210	13778	13402	13402	13430	14103	14120	12802	12817	16227	15402	17133	17071	17095	18107	19935	20878	17835	17652	19576	12827	11353	11486	11459	9462	8039	3969	2064	2064	1387	1550	1990	1722	1598	1768	1693	2214	2178	2178	5785	5594	1768	5907	5907	2596
Tài sản dài hạn###Non-current Assets	1240283	932815	970365	794365	414775	336876	338618	338616	310866	311702	114754	115861	116141	120777	117318	123783	110488	110400	107267	108253	106779	107560	107607	157283	156586	157534	157119	158036	159523	160415	162434	163093	163223	165325	166077	168179	168900	167648	167406	169268	169162	169100	169421	166196	164192	173829	183497	191477	170640	114895	106364	100729	78648	73295	68872	28865	30129	76614	28323	24542	25245	26533	26533	59514	57107	28323	50164	50164	35318
Các khoản phải thu dài hạn###Long term Account Receivable	23250	23250	23250	23250	23250	23250	23250	23250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	5	5	5	5	0
Tài sản cố định ###Fixed assets	852446	560589	560588	425284	47572	43620	44742	44740	45277	46494	44306	45139	45139	46796	44916	59611	47258	47134	45070	45780	44494	45446	45493	42176	41401	42204	42931	42926	43838	44437	45113	46691	46687	47836	48660	50112	50041	50950	52349	53308	54116	53865	55469	58291	54059	32281	48755	49361	42723	43333	34587	54434	33169	27713	22994	24247	25868	25879	24093	20295	22255	23525	23525	24599	25503	24093	28395	28395	33567
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-69199	-67382	-67384	-67149	-66707	-65272	-64043	-64045	-62588	-61378	-60430	-59316	-59316	-59005	-58035	-56875	-56120	-56244	-54994	-53904	-52837	-51802	-51754	-50943	-50195	-49270	-48543	-48549	-47636	-46800	-45924	-47526	-47589	-47291	-46966	-47024	-46047	-46099	-44815	-43563	-43517	-42302	-42112	-38427	-40891	-36319	-40782	-40550	-41873	-39813	-39749	-38092	-38156	-36617	-34522	-32838	-31161	-31163	-29149	-27558	-25495	-24218	-24218	-23140	-21616	-29149	-18989	0	0
