CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	6123945	6116848	6177437	6286775	6592281	6196280	5878663	5791482	6155646	5650232	6026686	5537717	5934465	5919397	5496686	5671181	5438914	5481379	5400560	5388636	5534197	5584106	7187959	6170100	5984443	6758937	4990705	6416862	6012781	6006152	5753347	5854561	5613621	5548440	5078985	5381758	5252264	5070236	5133215	4827547	4183199	4064163	4512456	4252282	4261003	4281045	3814644	3824844	3292351	3093146	3418433	3234995	4075196	2421613	2615118	2254418	1578867	2264440	2880516	3078971	1365113	1739344	1999572	1299931	759763	880480	412757	439991	56568	264684	194781
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27767	102092	102095	62065	117498	6799	50430	50430	37160	25094	70374	112315	112315	58964	22999	9798	26525	26526	12681	23426	27753	38197	63194	25177	74025	64909	48659	48653	45721	56659	31887	60108	60107	22416	36269	16709	30387	30393	5113	12879	17372	60140	60139	48367	50474	34489	59957	59957	42825	74344	55159	104970	104899	91989	76498	53494	116308	116308	87249	41903	17548	1004691	652282	690442	266739	38783	30478	23796	9283	9494	23726
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8005	0	0	8000	0	25000	9236	9378	9516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7102	7510	7510	253068	283696	277648	151049	756133	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1892422	1843936	1888672	1720800	1674214	1298951	1453793	1421230	2576820	2037245	2221037	1871677	2258078	2464663	2060885	2225392	1951234	1962068	1938845	1950261	1897237	1889094	1816622	1388697	1794164	2249591	1277077	2225546	2048202	2140319	2170423	2330329	2292745	2343375	1943793	2302471	2266176	1620864	1692233	1640664	1281045	1311905	2005932	1818238	1973091	2168843	1716843	1783424	1300636	1162932	1569577	1255817	2175471	815466	737641	640045	622923	609296	850323	1008204	987403	516534	547209	573238	404508	702332	369835	416132	46748	246532	145636
Hàng tồn kho###Inventory	4200333	4167561	4186169	4503226	4800435	4889740	4373272	4319543	3541549	3587544	3735200	3553566	3563739	3395387	3412509	3435935	3452738	3491770	3448416	3406725	3606780	3631340	5291731	4722373	4104962	4419516	3663925	4082605	3800511	3706632	3433324	3361871	3145859	3086594	3016500	2982916	2880774	3349687	3371042	3130792	2857793	2652086	2433099	2352796	2193784	2023411	1999301	1931135	1917165	1830676	1779047	1836856	1779947	1489100	1771858	1529734	809962	1505456	1587439	1645829	21404	21252	594	1479	584	424	731	63	83	2	0
Tài sản ngắn hạn khác###Other Current Assets	523	3259	501	685	134	790	1167	279	116	348	74	159	333	383	293	55	412	1015	619	223	2427	474	7176	24474	1777	24921	1045	60058	118348	102542	117713	102253	114910	96055	82423	79662	74927	69292	64828	43212	26989	40032	13287	32882	43654	54302	38543	50328	31725	25195	14651	37353	14878	25058	29121	24043	22164	25870	102436	99339	61110	45817	43354	34772	87932	138941	11714	0	454	8655	25419
Tài sản dài hạn###Non-current Assets	7161946	7183725	7911422	7234510	7182342	7238802	7207016	7198746	7018692	7263566	7028984	7383514	7325085	7308522	7483288	7255253	7478076	7377054	7374250	7401040	7222989	7156584	5856193	6019513	6143777	5542009	6978120	5767616	5573064	5095558	5120373	4905753	5229993	4704242	5057678	4916210	4754209	4940410	5057802	4980873	4977215	5000250	4878520	5114480	4932624	4985747	5187801	5241058	4740902	4799824	4057037	3993537	3960941	4774158	4523729	4188732	4122681	4049803	3314798	3173150	4605450	2958731	2687887	1978179	1610549	1373716	1051387	1000708	221088	979409	963017
Các khoản phải thu dài hạn###Long term Account Receivable	1965988	1984998	1981927	1977021	1981943	1996591	2019212	2012278	1852849	2161031	1884224	2197379	2143347	2149473	2316448	2110734	2322835	2225046	2227067	2293179	2383043	2383043	2188083	2316521	2462097	1829069	2444561	1652521	1516251	1287802	1446264	1264844	1361653	1489847	1852898	1514952	1613096	1841038	1898786	1884127	1817703	1935576	1566120	1657928	1508825	1568826	1767627	1854223	1459247	1789122	1046615	1039592	969684	1283381	1106075	802698	682910	750606	520096	554783	0	0	0	0	0	0	0	103	102	102	0
Tài sản cố định ###Fixed assets	85615	86964	82608	83938	78297	70064	62700	62700	71153	72277	71311	72525	72224	67644	68715	69750	70961	70822	72222	73540	75021	76628	109572	78408	80458	79124	81052	80759	82939	84072	79459	238483	242283	243823	265761	253475	67070	239879	242828	244573	211695	77826	232014	233521	241560	239896	89752	211201	233083	235929	239974	196345	208400	240236	94733	82608	171740	86466	61468	56815	753130	690161	638503	646603	334076	312072	44771	24649	8176	25479	23175
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-99729	-97968	-92336	-90647	-89166	-87774	-86531	-86531	-88411	-87313	-86223	-85133	-85133	-84447	-83917	-82937	-81727	-81727	-80188	-79044	-77655	-75966	-76701	-74390	-72455	-75765	-73159	-72615	-70437	-68606	-65869	-63534	-60813	-59525	-55952	-58538	-57672	-57672	-54919	-52081	-49215	-46344	-46344	-43458	-40565	-37657	-34744	-34744	-31823	-28949	-26145	-23479	-23479	-22234	-22308	-20929	-16195	-16195	-15614	-17270	-12696	-12790	-11469	-11877	-11492	-10782	-9936	-8232	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-401	-348	-348	-294	-241	-187	-134	-134	-80	-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2800	-1000	0	0	-700	0	0	0	-192	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-5520	-5450	-4878	-4867	-4855	-4843	-4831	-4831	-6156	-5962	-5908	-5785	-5936	-5735	-5465	-5411	-5364	-5503	-5457	-5186	-5095	-5009	-4852	-4805	-4689	-4712	-4665	-5502	-5455	-5409	-5362	-5315	-5315	-5165	-4903	-4642	-4380	-4380	-4119	-3857	-3595	-3334	-3334	-3072	-2811	-2549	-2288	-2288	-2026	-1765	-1503	-1242	-1242	-980	-719	-457	-196	-196	-80	-76	-1599	-1573	-1573	-1546	-1750	-1493	-1467	-1419	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21294	21294	0	21294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216000	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	495216	502081	503734	510655	496818	503426	510176	505579	512466	485375	491392	497645	497822	504285	510417	505801	511507	513442	503856	489409	494418	468837	270595	233767	218490	213695	270780	433425	406165	192814	196265	198585	191675	180002	182603	157721	159555	114757	117135	118422	120896	116784	92264	87777	84272	63750	59840	36002	14165	14421	14740	15070	15070	15299	0	0	7415	0	0	0	0	0	0	138301	0	43376	43649	43649	44739	44739	44740
