CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	Q2 2011	 2010
Tài sản ngắn hạn###Current Assets	1710316	1527898	1582850	1164163	1372653	1685433	1545152	1547350	1542089	1388067	1346908	1148081	1160360	1037901	1156877	1220851	1443228	1634951	1032554	1125987	974723	785206	785206	575295	587060	573135	573135	593583	593583	599176	599176	582430	689208
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	165034	47845	42845	48668	203499	305781	588287	589587	278933	188360	215423	97789	97789	33852	148451	337350	394661	394673	51560	78556	94571	67303	67303	5450	5450	7319	7319	9368	9368	3088	3088	2770	15234
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	5000	27000	0	1300	1300	0	0	3500	5500	0	0	115000	102000	100000	100000	0	0	0	0	0	0	0	7700	7990	7990	5350	5350	12312	12312	13062	18723
Các khoản phải thu ngắn hạn###Short term Account Receivables	941227	883607	916680	518305	475431	511841	423983	426178	446816	341760	312116	310984	323241	181625	142258	165435	315422	506130	325686	302003	207603	92016	92016	66150	41538	73289	73289	74036	74036	112470	112470	110247	110592
Hàng tồn kho###Inventory	595204	587560	609461	563539	680557	853174	527364	527363	806026	844047	805334	735700	735721	706876	763260	614706	631142	733166	653469	715962	648111	604225	604225	501363	513128	476728	476728	497575	497575	467134	467134	452757	541068
Tài sản ngắn hạn khác###Other Current Assets	8852	8886	8864	6652	13167	13336	4218	4222	10314	10400	8536	3609	3609	549	908	3359	2004	983	1839	29466	24437	21661	21661	2332	19243	7809	7809	7255	7255	4171	4171	3594	3591
Tài sản dài hạn###Non-current Assets	517280	566646	511575	695045	581892	437899	421200	421203	409177	406224	404122	401428	314427	308721	417951	130801	131285	57256	109162	138059	130353	115293	115293	28881	17116	18040	18040	17450	17450	47949	47949	48728	50258
Các khoản phải thu dài hạn###Long term Account Receivable	55340	55340	240	240	240	240	240	240	240	240	240	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	11456	11815	11815	11720	11774	13481	13900	13900	13887	13759	14347	13450	13450	9896	9333	9239	9624	9624	8763	6689	5197	5306	5306	5877	5877	5419	5419	6321	6321	7255	7255	7714	8195
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-23970	-23612	-23612	-22920	-22173	-21523	-21030	-21030	-20093	-19180	-18282	-17247	-17247	-16817	-16412	-16026	-15644	-15644	-15087	-14949	-14832	-14725	-14725	-14324	-14324	-13679	-13679	-13179	-13179	-12231	-12231	-11759	-11279
