CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006	Q4 2006
Tài sản ngắn hạn###Current Assets	18272259	17066173	17066173	15526670	13731176	12323255	11815774	11496794	11359306	10478823	9114813	8840186	8840186	8183810	7067696	5121837	4627027	4627027	2816641	2521790	3001561	2986757	2986757	2684543	2336943	2047828	1755832	1678871	1210785	1080066	1022639	934032	934032	792184	679784	769954	580625	580625	538566	573897	492494	585934	585934	777001	613631	496588	540865	540865	494070	448687	482298	452727	438114	540364	268798	62234	5659	5659
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	766408	793293	793293	1466616	863102	1026435	1158571	1158590	925246	722008	1273897	1687437	1687437	1946525	2173448	1594901	1818217	1818217	451752	526430	724908	909523	909523	822037	662462	840426	776339	776339	373821	305370	306750	72886	72886	59468	120159	110709	136053	136053	68525	55689	53751	107362	107362	255923	146085	143042	161564	161564	122547	95282	108066	78033	78033	132795	39658	31559	5550	5550
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	512197	305739	305739	262768	89057	542755	382499	52480	241874	241874	251821	226023	226023	19322	4040	0	0	0	0	0	0	0	0	0	0	0	0	0	6026	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	8281654	9023334	9023334	8343789	7963965	6193025	5566774	5577290	5789505	5706200	4417299	3440572	3440572	4171182	3424308	2616241	1865020	1865020	1169859	1022352	1119234	925131	925131	849480	847880	660597	473568	288128	251347	251316	202350	385706	385706	369463	232161	289652	281683	281683	220091	228418	290387	346456	339656	304907	268351	235466	206684	206684	156143	169018	98163	107241	92631	122413	163740	16290	0	0
Hàng tồn kho###Inventory	8552111	6791464	6791464	5310359	4621514	4319062	4605151	4605151	4274036	3697767	3084081	3400583	3400583	1980913	1394500	884766	915503	915503	1153867	939097	1107978	1122029	1122029	981057	808453	535178	499214	499214	484181	452490	449352	432787	432787	296155	288101	327792	129207	129207	168317	243360	96878	84099	84099	66417	45625	61759	124532	124532	166459	125709	209507	167479	167479	134279	47388	11029	0	0
Tài sản ngắn hạn khác###Other Current Assets	159889	152342	152342	143138	193539	241978	102779	103284	128646	110974	87714	85570	85570	65869	71400	25929	28287	28287	41163	33911	49440	30074	30074	31968	18148	11628	6710	115189	95410	70890	64187	42653	42653	64598	39363	41801	33682	33682	81633	46430	51479	48018	54818	149753	153570	56321	48085	48085	48921	58678	66563	99974	99971	150878	18013	3356	109	109
Tài sản dài hạn###Non-current Assets	2982397	2814344	2814344	2473148	2217387	2025336	1912940	2277963	2078149	1938659	1636607	1424216	1424216	1433486	1143869	1005590	935765	935765	756494	751419	717713	586591	586591	643155	633008	461459	404621	481582	473672	497584	475419	334183	334183	322602	358951	233836	235827	235827	305820	300054	302035	300310	300310	231672	243951	177945	146894	146894	130502	99288	95888	94816	107986	93234	36441	1470	446	446
Các khoản phải thu dài hạn###Long term Account Receivable	171978	172279	172279	190181	189201	191298	145379	205171	162536	157126	3957	3257	3257	12965	149707	2873	2736	2736	2306	2015	712	1012	1012	897	722	712	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	359475	361641	361641	99607	93718	85744	75783	75783	72765	68274	63896	63945	63945	58573	47084	40777	38857	38857	34592	34396	22452	21038	21038	15615	13076	12913	10005	10005	9008	9065	9554	12153	12153	12289	11494	12559	11233	13168	13902	14466	13988	12648	14692	15691	16133	14126	12361	13815	12128	12988	10324	9598	9598	7588	2480	1134	446	446
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-56637	-49273	-49273	-39134	-35716	-32048	-28700	-29289	-26547	-25540	-23032	-21246	-21246	-18304	-18034	-18479	-17219	-17219	-16260	-15137	-16024	-14869	-14869	-11935	-11155	-10449	-9841	-9841	-9265	-10393	-9816	-9284	-9284	-10639	-9658	-9705	-8925	-8925	-8176	-7406	-6445	-5720	-5720	-5106	-5869	-4158	-3549	-3549	-2877	-2393	-1884	-1561	-1561	-1184	-645	-235	-79	0
