CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1568615	1396657	1447620	1261876	1300206	1452175	1437144	1437144	1374756	1330874	1349805	1340379	1339411	1006981	911039	939212	902996	903054	932636	857027	955868	771889	848511	769671	802097	764180	803573	803681	779432	794100	784371	823654	848304	788265	808478	829569	806202	828439	768868	798304	865654	884913	836883	769016	802830	826747	931354	863749	710784	747142	512343	541904	541904	379378	377399	427576	28319
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	125485	151467	151467	178489	246638	331060	351844	351844	295601	381511	447659	455722	455722	157656	124357	178925	254523	254523	221670	168358	293495	127672	127672	41271	80619	59310	118805	118805	65162	77943	45210	56221	56221	17556	14118	44969	27305	29305	17823	28280	36996	63976	65314	63271	79085	109641	110047	143200	125687	162971	10222	46141	46141	60816	69206	139116	18719
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	505848	335297	335297	250105	269104	321603	279042	279042	334937	378192	374825	361769	361769	241585	162271	45474	12442	12442	7224	7224	1513	1513	1513	1471	1471	1814	1678	1678	1634	1634	2043	2043	2043	390	0	2000	2000	0	2000	0	0	0	0	0	0	0	25000	0	25000	0	0	0	0	0	0	21221	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	369864	340621	350074	464542	444909	464726	339259	339259	370555	282761	237240	215606	213085	391454	404385	451097	418893	418950	406228	406588	360978	362550	468293	441641	434548	410096	408991	408991	371433	380959	410138	442044	442130	433423	457810	425168	423175	446284	384271	416346	388023	420266	387162	251438	295681	255086	354769	349881	209490	208310	178725	192377	192377	146201	134624	92548	5321
Hàng tồn kho###Inventory	560530	561893	608151	357878	327237	333907	463566	463566	365816	286386	288324	306825	306825	214381	219158	262679	216299	216299	293897	270156	294001	277287	250575	284491	284245	291161	272148	272148	337814	329070	322400	320623	345361	335253	334671	356022	350931	350058	357973	351951	426685	397537	379713	449546	422768	455863	438488	367617	328869	361514	316705	297140	297140	171364	165131	160975	2327
Tài sản ngắn hạn khác###Other Current Assets	6889	7380	2631	10862	12318	878	3433	3433	7847	2025	1758	458	2010	1905	868	1037	840	840	3617	4701	5881	2867	459	796	1214	1798	1949	2057	3389	4493	4581	2723	2548	1643	1879	1410	2791	2791	6801	1727	13949	3134	4695	4761	5296	6156	3051	3051	21738	14348	6691	6246	6246	998	8439	13715	1952
Tài sản dài hạn###Non-current Assets	881424	838500	817233	732387	706461	698355	679828	679912	644134	638883	639808	647915	646363	636992	637085	623319	623639	623639	617945	617449	514709	606925	611431	643372	649046	664575	671986	671891	666399	672743	708597	824840	824911	818498	831796	862178	857608	835205	909422	914436	961147	937881	933873	926021	831835	733020	647012	792291	674948	566582	455447	436904	436904	199404	200354	7829	2176
Các khoản phải thu dài hạn###Long term Account Receivable	5227	5227	5227	7378	7378	7378	0	0	0	0	0	0	0	2520	2520	2520	2520	2520	2823	2823	19061	19061	23568	46607	46607	56497	51497	51497	17658	17658	9998	9998	9998	4556	4556	32170	32170	15523	85264	85264	126309	112923	147895	202745	175595	195813	148193	163036	129188	156175	107793	98470	98470	17483	17483	899	0
Tài sản cố định ###Fixed assets	57365	57255	57255	58464	61411	60791	50349	50349	49889	50880	52066	52886	52886	46212	47356	48273	49288	49288	48972	50748	51930	53246	53246	54507	55510	57028	108829	58333	57104	58188	138218	139511	139582	131917	127768	117843	66911	118540	221026	220155	221834	39531	184993	331715	293590	228795	41388	358061	271756	149869	96284	92027	92027	28543	29012	6195	2176
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-52444	-50466	-50466	-48569	-47557	-46081	-44507	-44507	-43138	-41806	-40526	-39184	-39184	-37847	-36727	-35600	-34470	-34470	-34185	-33345	-32217	-30935	-30935	-29624	-28334	-26925	-25477	-25477	-24433	-23088	-21870	-20296	-20296	-18783	-21016	-19699	-19675	-19675	-17896	-16115	-14533	-13079	-13073	-11986	-10542	-10250	-7678	-7678	-6247	-4902	-3978	-3353	-3353	0	-1663	-516	-47
