CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	621725	586158	586158	415481	401001	425927	485093	485093	504437	428583	434997	457126	457126	443997	434385	425292	452046	452046	358635	306789	311034	326905	326905	326706	318310	293919	299963	299963	275959	238013	235008	161831	161831	139607	91861	82110	82110	85380	94626	101753	104832	112861	108641	109730	92453	82938	91181	79309	78434	61800	48818	91714
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	15895	54318	54318	14733	11478	33307	32928	32928	46513	4098	4340	77778	77778	18381	84890	180812	273077	273077	294324	191202	155639	13202	13202	15854	5056	14463	3247	3247	16607	33420	37633	5210	5210	11342	10100	6421	6421	7030	48274	25318	20674	20674	16244	33589	18043	16602	956	1203	9341	913	3622	3766
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	475448	345747	345747	319046	294716	318010	359932	359932	380897	362058	378569	324960	324960	371220	291234	193719	89814	89814	9214	9430	47330	172749	172749	189405	181026	162281	174513	174513	149360	120166	103304	103304	102261	64003	49137	43362	43362	43892	4307	34540	36258	35818	47225	32157	33464	28734	46719	45722	40626	44990	33254	53894
Các khoản phải thu ngắn hạn###Short term Account Receivables	53066	74012	74012	43120	57259	33935	47638	47638	28326	29465	19216	18422	18422	18590	22680	14699	53353	53353	14732	55195	57993	79146	79146	59897	66348	50509	55321	55321	56312	52495	50501	34373	34373	6724	17046	16784	16784	19010	25869	26616	29680	38272	26948	25480	19975	16759	14035	24788	17065	4191	833	12563
Hàng tồn kho###Inventory	74314	108728	108728	32622	33814	36938	44579	44579	48384	30152	30158	35676	35676	35621	34863	35943	35777	35777	38631	50149	49937	59549	59549	59362	64539	66144	63902	63902	51020	30659	32276	14216	14216	14214	14214	14186	14186	14197	13681	12733	13325	13425	13498	13496	13475	13481	22359	21	84	51	48	179
Tài sản ngắn hạn khác###Other Current Assets	3001	3353	3353	5961	3733	3738	16	16	317	2810	2714	290	290	185	719	119	25	25	1734	814	135	2259	2259	2188	1341	522	2980	2980	2660	1274	1863	4728	4728	5067	1364	1356	1356	1251	2495	2546	4895	4671	4726	5008	7497	7362	7112	7575	11318	11656	11062	21312
Tài sản dài hạn###Non-current Assets	541393	551580	551580	505643	487196	434205	302311	302311	254435	304497	304499	260839	260839	260573	258234	260452	221265	221265	259250	236475	228151	185814	185814	177294	160018	150050	142128	142128	141404	141808	128329	177665	177665	178422	187352	193060	193060	191803	188202	189824	187083	175606	160202	151249	150498	140992	132714	143761	140386	137544	137023	98060
Các khoản phải thu dài hạn###Long term Account Receivable	115665	113905	113905	114240	132042	131298	69090	69090	68742	58411	58190	57972	57972	57746	57523	57301	18501	18501	55269	25163	25163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5149	5149	5149	5149	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	88009	89535	89535	48612	47891	49744	50702	50702	51563	52355	53820	54779	54779	54778	55821	57374	51492	51492	52549	53745	53875	54901	54901	34513	33806	33915	64341	31055	31812	32286	49888	99244	99244	99361	100694	99225	34790	98890	103097	104100	10844	106452	97746	97906	94501	10217	75848	76077	73088	124951	125815	44864
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-40035	-38211	-38211	-36046	-33622	-31124	-29253	-29253	-27421	-26071	-24274	-22511	-22511	-21683	-20837	-19182	-17729	-17729	-16415	-15118	-13850	-12842	-12842	-11610	-11238	-10466	-9777	-9777	-9174	-8524	-7877	-7233	-7233	-6989	-5441	-4815	-4815	-4190	-3604	-2655	-2480	-2469	-2230	-1996	-2196	-2000	-2000	-1822	-1591	0	-2563	-627
