CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	12673917	12326996	12234621	10198045	9575366	8855280	9570063	9584615	9150923	8734018	8789840	9110239	8907510	7895580	6701382	7113875	7241327	7196950	7629980	7094830	7159120	7635496	7652102	4272604	4231373	3459432	2826158	3083230	2245624	2110968	1740585	1547145	1542694	1386557	2204610	2190869	1640930	1711482	1597684	1444707	1422074	2115843	2182804	2896096	2564848	2520270	2451101	392964	2052811	1857408	1609308	973113	973522	921819	968893	627636	135081
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1579638	1174994	1175035	1004924	1530946	1347262	1835706	1835706	1708512	1426551	1363259	2591573	2591321	1978127	819210	959022	1059489	1059489	798261	576408	543289	982506	982506	248550	632335	705100	434689	434689	441286	261418	78230	88518	88518	73755	168717	161607	107413	107413	69116	50047	88921	121948	121948	117571	164152	226013	283464	41192	191789	137842	138122	51868	51868	30549	106880	168668	1656
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10291	32491	32491	92118	69918	0	0	0	0	5000	0	0	260	0	510	0	510	510	510	510	510	44010	44010	0	0	0	0	257000	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17800	143350	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3508075	3777835	3693858	2504512	1990866	1775365	1760316	1760670	1486280	1876201	2310972	1547630	1663619	1622141	1929426	1590680	1485091	1402941	923153	685373	820455	653811	674624	688817	1052874	472712	279488	279560	556844	601199	581409	381191	380443	323543	313613	447981	372987	428747	419350	320314	318799	527106	561282	885363	792419	763479	671742	159295	615810	426393	187892	155947	154123	146604	110056	167010	7487
Hàng tồn kho###Inventory	7225831	7037109	7022689	6371706	5802926	5570245	5817380	5822268	5768419	5269441	4953569	4857523	4620859	4237637	3903499	4509564	4617788	4672477	5868937	5796118	5728847	5865283	5857279	3260534	2495750	2240826	2074964	2074964	1228705	1236950	1068572	1068116	1064414	946518	1656629	1568461	1110851	1126026	1054557	1024780	992180	1429092	1460944	1837444	1548738	1447554	1423545	167508	1190669	1235352	1259409	760926	760926	731829	720158	143979	122456
Tài sản ngắn hạn khác###Other Current Assets	350083	304567	310548	224786	180710	162409	156661	165970	187713	156824	162041	113513	31451	57675	48736	54609	78448	61533	39119	36422	66019	89885	93683	74704	50414	40794	37016	37016	18789	11401	12373	9320	9319	42741	45651	12821	49679	49297	54660	49565	22174	37697	38630	55718	59538	83223	72349	24969	54543	57820	23886	4372	6604	12838	14000	4630	3482
Tài sản dài hạn###Non-current Assets	921945	910329	921888	914375	859829	672869	657832	654272	641308	625924	663140	606383	689854	713454	715267	682512	695584	721512	928999	917984	964274	906075	910744	636556	36214	573634	294428	37428	186070	366852	192840	194083	185934	236856	160266	207209	463021	385926	473144	482987	434571	301100	264815	196185	195373	193658	196353	1247994	186592	181220	138994	193907	193907	197036	111599	148811	1796
Các khoản phải thu dài hạn###Long term Account Receivable	109025	95819	96101	195737	200357	122234	122873	122128	124368	127724	135240	123988	124223	126015	127995	80433	85444	86486	107246	101648	112500	102943	106928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	48626	47762	47762	34257	35450	32912	34461	34461	32585	32519	30409	30095	30341	30641	26932	27889	27547	27524	29089	29420	30578	31677	31677	7386	7910	4183	4374	4374	4448	4728	3750	3916	3918	4103	4909	5381	4927	4927	5894	6247	6634	8116	8116	9211	10474	9554	9358	7314	8481	8531	3472	3569	3569	2906	3104	4433	1788
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-62525	-61380	-61912	-61556	-59868	-58578	-57029	-57029	-61413	-59822	-59931	-58912	-58717	-58778	-57796	-61599	-60718	-60741	-59582	-58419	-57273	-56126	-56126	-3329	-3281	-6269	-5971	-5971	-5678	-5398	-5169	-4954	-4953	-4736	-5441	-6216	-5070	-5498	-5277	-5039	-4820	-4886	-4886	-4528	-5014	-4471	-3952	0	-3461	-4285	-3931	-3572	-3572	-3250	-2355	-1466	-570
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-219	-189	-189	-159	-129	-100	-70	-70	-40	-10	0	0	0	0	0	0	0	0	0	0	0	0
