WC/TA,EBIT/TA,Mk val Equity/BV Debt,Sales/TA,default
-0.002690364,0.009049405,0.19470827699999999,1.1336213929999999,N
0.279427408,0.068960277,2.0644359740000002,1.064067106,N
0.07788642400000001,0.068927342,0.543863435,0.884408637,N
-0.280907494,0.041193497999999995,0.217049033,1.55862342,N
0.008500262,0.11859741300000001,2.313229626,1.223902619,N
-0.134008354,0.013380172,0.43538108799999997,1.429392481,N
0.064015839,0.045482044000000006,0.422352513,1.6734312269999998,N
0.15077352800000002,0.005109412,0.18410458899999999,0.667716225,N
0.27925075,0.039989219,1.37780425,0.963918741,N
0.311554025,0.021876398,0.294468891,1.8813702140000002,N
0.33680102,-0.061704637,3.362862626,1.384926956,N
0.006470113,0.10119225,2.481619152,1.34539256,N
0.313933982,0.046403593,0.791311216,1.869202777,N
-0.088881427,0.11998752900000001,0.603369092,2.146249041,N
-0.166099513,0.029108802000000003,0.528125197,0.56180447,N
0.271805192,-0.009237271,0.5351370639999999,0.2755484,N
-0.594816027,0.23411315300000002,0.117531685,1.028376652,N
-0.166594615,0.045161190999999996,0.18226472,0.976168787,N
0.130235797,0.082272717,1.1317062759999998,1.470439222,N
0.071501855,0.091626549,1.687393731,3.83963381,N
-0.01450878,0.03996398,0.183389313,0.939061684,N
-0.15209002,-0.00462572,0.157342665,0.9323033740000001,N
-0.068014223,0.05154481599999999,0.115770846,1.37721647,N
-0.09661175300000001,0.013186708,1.835163558,0.716105448,N
-0.124730906,-0.173525803,1.531807476,0.781402218,N
-0.15067833,-0.020090444,0.793170442,0.7255170879999999,N
0.19276966,0.059986900999999995,2.197728767,0.982069427,N
-0.19395449899999997,0.039361604,0.143629646,0.896805897,N
0.179406475,0.050584532,0.37492855799999997,3.362972122,N
0.24027183600000002,0.055586286,1.398143203,1.311222244,N
-0.014953912,-0.037633441000000004,0.08662969599999999,2.040282958,N
-0.159102493,0.021157852999999997,0.295407694,1.306498811,N
0.278732341,0.134911544,1.343612228,1.190148912,N
-0.058856334,0.042555017,0.27180739,2.393955643,N
-0.138784461,0.059288847,0.22769659899999997,0.941729323,N
0.33557047,0.06694630900000001,1.04302226,4.470637583999999,N
0.008999497,0.047435897000000005,0.31912016600000004,1.334690799,N
0.08173058,0.03193707,0.329559599,0.584936087,N
-0.0062533,0.050488384000000004,0.502226426,0.9217430040000001,N
0.645762605,0.036691057,1.069263255,1.381449929,N
0.32072795,0.117960241,5.536153062,1.4233848130000002,N
0.133937272,0.073129081,1.272427288,1.1750549829999999,N
0.045954752,0.031487093,0.42295549200000004,2.666537559,N
0.037554796,0.034104808,1.274088505,0.595822262,N
0.240026197,0.044013743,1.6916147830000001,1.07924349,N
0.182224057,0.046937522,0.261972378,0.737292927,N
0.412815983,0.135362669,2.8363247460000003,1.2911491940000002,N
0.051843118,0.033117176,0.862845913,4.316988591,N
0.12326852199999999,0.013368916000000002,0.546543655,1.692514932,N
0.182824465,0.014938857,0.11396542400000001,3.058364495,N
0.309113454,-0.000208745,0.313031793,1.955027656,N
0.180566,-0.038335852999999996,1.657304923,1.652560595,N
0.427122427,0.047694393,0.556913498,1.20429744,N
0.10878344300000001,-0.06200572099999999,1.507711201,1.616523641,N
0.307188361,0.051239263,0.520158308,3.22154514,N
0.215979411,0.05688894,0.77782214,3.5508260560000005,N
-0.327696948,-0.076311965,2.786034929,0.669665616,N
0.17985482100000003,0.063612973,0.8598448000000001,2.404437314,N
0.16568639400000001,0.034990602999999995,0.5384345229999999,1.104485567,N
-0.048189073,0.056067117,0.648272472,1.692449355,N
0.19631822899999998,0.18003347100000003,1.9054244530000002,2.1615602469999997,N
